Metric,Strat1_Split,Strat2_Shared,Pure_DCA,Yearly_Lump
Total_Invested,1273174.7399999993,1794956.86,1520452.96,1780220.6800000002
Final_Value,1722621.81,2645417.9699999997,2199445.56,2848000.02
Total_Return_Pct,35.30128708020087,47.38058774292768,44.65725792661156,59.98016717792537
Annualized_Return_Pct,10.821262820950416,14.089217924968601,13.368340879060693,17.314606661720887
Sharpe_Ratio,0.6863549221050986,2.3179420210467674,2.0704954576373327,1.2213829861240102
Max_Drawdown_Pct,-17.065128096795053,-27.776645434448017,-21.90472802145564,-26.71059091244299
DCA_Buys,33.0,31.0,N/A,N/A
AI_Trades,3.0,45.0,N/A,N/A
AI_Win_Rate_Pct,100.0,77.77777777777779,N/A,N/A
