Metric,V4_With_Filter,Buy_Hold
Initial_Capital,1000000.0,1000000
Final_Value,1661688.0499999998,1982408.753581944
Total_Return_Pct,66.16880499999999,98.24087535819439
Annualized_Return_Pct,18.837627351648756,26.18316478398266
Sharpe_Ratio,1.2540017367517378,1.21207031369579
Max_Drawdown_Pct,-17.091184350103525,-28.693158639001265
Trades,5.0,N/A
Win_Rate_Pct,80.0,N/A
Avg_Return_Pct,12.89973570456393,N/A
Avg_Hold_Days,106.2,N/A
Filtered_Count,15.0,N/A
